Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (dBm)
105, 2/9/2023, 11:28:18.752,4.4056
106, 2/9/2023, 11:28:18.875,4.3627
107, 2/9/2023, 11:28:18.906,4.3566
108, 2/9/2023, 11:28:18.936,4.3527
109, 2/9/2023, 11:28:18.968,4.3463
110, 2/9/2023, 11:28:19.000,4.3444
111, 2/9/2023, 11:28:19.122,4.3515
112, 2/9/2023, 11:28:19.245,4.3529
113, 2/9/2023, 11:28:19.368,4.3476
114, 2/9/2023, 11:28:19.489,4.3389
115, 2/9/2023, 11:28:19.611,4.3297
116, 2/9/2023, 11:28:19.734,4.3278
117, 2/9/2023, 11:28:19.855,4.3274
118, 2/9/2023, 11:28:19.978,4.3267
119, 2/9/2023, 11:28:20.009,4.3272
120, 2/9/2023, 11:28:20.132,4.3267
121, 2/9/2023, 11:28:20.255,4.3268
122, 2/9/2023, 11:28:20.377,4.326
123, 2/9/2023, 11:28:20.499,4.3268
124, 2/9/2023, 11:28:20.622,4.3267
125, 2/9/2023, 11:28:20.746,4.3265
126, 2/9/2023, 11:28:20.868,4.3267
127, 2/9/2023, 11:28:20.990,4.3265
128, 2/9/2023, 11:28:21.021,4.3261
129, 2/9/2023, 11:28:21.145,4.325
130, 2/9/2023, 11:28:21.268,4.3253
131, 2/9/2023, 11:28:21.390,4.3253
132, 2/9/2023, 11:28:21.513,4.3183
133, 2/9/2023, 11:28:21.636,4.3247
134, 2/9/2023, 11:28:21.760,4.3264
135, 2/9/2023, 11:28:21.882,4.3249
136, 2/9/2023, 11:28:21.913,4.3257
137, 2/9/2023, 11:28:21.945,4.3267
138, 2/9/2023, 11:28:21.976,4.3236
139, 2/9/2023, 11:28:22.006,4.3247
140, 2/9/2023, 11:28:22.130,4.3255
141, 2/9/2023, 11:28:22.252,4.3262
142, 2/9/2023, 11:28:22.375,4.3145
143, 2/9/2023, 11:28:22.498,4.3212
144, 2/9/2023, 11:28:22.620,4.3256
145, 2/9/2023, 11:28:22.744,4.325
146, 2/9/2023, 11:28:22.868,4.3261
147, 2/9/2023, 11:28:22.991,4.3253
148, 2/9/2023, 11:28:23.023,4.3257
149, 2/9/2023, 11:28:23.144,4.3246
150, 2/9/2023, 11:28:23.267,4.3248
151, 2/9/2023, 11:28:23.390,4.3248
152, 2/9/2023, 11:28:23.512,4.3246
153, 2/9/2023, 11:28:23.635,4.3248
154, 2/9/2023, 11:28:23.759,4.3243
155, 2/9/2023, 11:28:23.882,4.3247
156, 2/9/2023, 11:28:23.914,4.3241
157, 2/9/2023, 11:28:23.946,4.3245
158, 2/9/2023, 11:28:23.976,4.3242
159, 2/9/2023, 11:28:24.007,4.3256
160, 2/9/2023, 11:28:24.129,4.3249
161, 2/9/2023, 11:28:24.253,4.3246
162, 2/9/2023, 11:28:24.376,4.3247
163, 2/9/2023, 11:28:24.499,4.3248
164, 2/9/2023, 11:28:24.623,4.3248
165, 2/9/2023, 11:28:24.746,4.3244
166, 2/9/2023, 11:28:24.868,4.3246
167, 2/9/2023, 11:28:24.990,4.3245
168, 2/9/2023, 11:28:25.020,4.3245
169, 2/9/2023, 11:28:25.144,4.3245
170, 2/9/2023, 11:28:25.267,4.3249
171, 2/9/2023, 11:28:25.390,4.3249
172, 2/9/2023, 11:28:25.512,4.3252
173, 2/9/2023, 11:28:25.635,4.3251
174, 2/9/2023, 11:28:25.758,4.3249
175, 2/9/2023, 11:28:25.880,4.325
176, 2/9/2023, 11:28:25.913,4.3247
177, 2/9/2023, 11:28:25.944,4.3245
178, 2/9/2023, 11:28:25.975,4.3245
179, 2/9/2023, 11:28:26.007,4.3245
180, 2/9/2023, 11:28:26.130,4.3249
181, 2/9/2023, 11:28:26.252,4.3247
182, 2/9/2023, 11:28:26.375,4.3249
183, 2/9/2023, 11:28:26.498,4.3248
184, 2/9/2023, 11:28:26.621,4.3248
185, 2/9/2023, 11:28:26.746,4.3246
186, 2/9/2023, 11:28:26.868,4.3247
187, 2/9/2023, 11:28:26.991,4.3249
188, 2/9/2023, 11:28:27.022,4.3244
189, 2/9/2023, 11:28:27.145,4.3246
190, 2/9/2023, 11:28:27.267,4.3251
191, 2/9/2023, 11:28:27.390,4.3246
192, 2/9/2023, 11:28:27.514,4.3246
193, 2/9/2023, 11:28:27.637,4.325
194, 2/9/2023, 11:28:27.759,4.325
195, 2/9/2023, 11:28:27.881,4.3248
196, 2/9/2023, 11:28:27.913,4.3252
197, 2/9/2023, 11:28:27.944,4.3247
198, 2/9/2023, 11:28:27.976,4.325
199, 2/9/2023, 11:28:28.006,4.3254
200, 2/9/2023, 11:28:28.129,4.3253
201, 2/9/2023, 11:28:28.253,4.325
202, 2/9/2023, 11:28:28.376,4.3254
203, 2/9/2023, 11:28:28.499,4.3247
204, 2/9/2023, 11:28:28.623,4.3252
205, 2/9/2023, 11:28:28.746,4.3252
206, 2/9/2023, 11:28:28.868,4.3248
207, 2/9/2023, 11:28:28.992,4.3244
208, 2/9/2023, 11:28:29.023,4.3245
209, 2/9/2023, 11:28:29.147,4.3243
210, 2/9/2023, 11:28:29.268,4.3248
211, 2/9/2023, 11:28:29.391,4.3252
212, 2/9/2023, 11:28:29.515,4.3257
213, 2/9/2023, 11:28:29.637,4.3255
214, 2/9/2023, 11:28:29.760,4.3249
215, 2/9/2023, 11:28:29.882,4.3255
216, 2/9/2023, 11:28:29.914,4.3256
217, 2/9/2023, 11:28:29.945,4.3249
218, 2/9/2023, 11:28:29.976,4.3252
219, 2/9/2023, 11:28:30.008,4.3257
220, 2/9/2023, 11:28:30.129,4.3252
221, 2/9/2023, 11:28:30.252,4.3256
222, 2/9/2023, 11:28:30.376,4.3257
223, 2/9/2023, 11:28:30.498,4.3254
224, 2/9/2023, 11:28:30.620,4.3254
225, 2/9/2023, 11:28:30.742,4.3255
226, 2/9/2023, 11:28:30.864,4.3256
227, 2/9/2023, 11:28:30.988,4.3275
228, 2/9/2023, 11:28:31.020,4.334
229, 2/9/2023, 11:28:31.142,4.3259
230, 2/9/2023, 11:28:31.264,4.3357
231, 2/9/2023, 11:28:31.386,4.338
232, 2/9/2023, 11:28:31.510,4.3265
233, 2/9/2023, 11:28:31.632,4.3339
234, 2/9/2023, 11:28:31.755,4.333
235, 2/9/2023, 11:28:31.876,4.3268
236, 2/9/2023, 11:28:31.908,4.3274
237, 2/9/2023, 11:28:31.939,4.3244
238, 2/9/2023, 11:28:31.970,4.3267
239, 2/9/2023, 11:28:32.001,4.3346
240, 2/9/2023, 11:28:32.125,4.3267
241, 2/9/2023, 11:28:32.247,4.3258
242, 2/9/2023, 11:28:32.370,4.3316
243, 2/9/2023, 11:28:32.493,4.3274
244, 2/9/2023, 11:28:32.616,4.3274
245, 2/9/2023, 11:28:32.739,4.3315
246, 2/9/2023, 11:28:32.862,4.3262
247, 2/9/2023, 11:28:32.985,4.3292
248, 2/9/2023, 11:28:33.016,4.3247
249, 2/9/2023, 11:28:33.139,4.3278
250, 2/9/2023, 11:28:33.262,4.324
251, 2/9/2023, 11:28:33.385,4.3251
252, 2/9/2023, 11:28:33.508,4.3252
253, 2/9/2023, 11:28:33.630,4.3245
254, 2/9/2023, 11:28:33.754,4.3241
255, 2/9/2023, 11:28:33.877,4.3245
256, 2/9/2023, 11:28:33.908,4.3237
257, 2/9/2023, 11:28:33.940,4.3237
258, 2/9/2023, 11:28:33.971,4.3242
259, 2/9/2023, 11:28:34.004,4.3231
260, 2/9/2023, 11:28:34.126,4.3255
261, 2/9/2023, 11:28:34.249,4.3252
262, 2/9/2023, 11:28:34.371,4.326
263, 2/9/2023, 11:28:34.493,4.3289
264, 2/9/2023, 11:28:34.615,4.324
265, 2/9/2023, 11:28:34.737,4.325
266, 2/9/2023, 11:28:34.860,4.3295
267, 2/9/2023, 11:28:34.983,4.3253
268, 2/9/2023, 11:28:35.014,4.3327
269, 2/9/2023, 11:28:35.135,4.3282
270, 2/9/2023, 11:28:35.258,4.3278
271, 2/9/2023, 11:28:35.383,4.3251
272, 2/9/2023, 11:28:35.505,4.3261
273, 2/9/2023, 11:28:35.629,4.3229
274, 2/9/2023, 11:28:35.751,4.3236
275, 2/9/2023, 11:28:35.874,4.3229
276, 2/9/2023, 11:28:35.905,4.3234
277, 2/9/2023, 11:28:35.936,4.3227
278, 2/9/2023, 11:28:35.968,4.3229
279, 2/9/2023, 11:28:35.999,4.3224
280, 2/9/2023, 11:28:36.029,4.3292
281, 2/9/2023, 11:28:36.151,4.3249
282, 2/9/2023, 11:28:36.273,4.3221
283, 2/9/2023, 11:28:36.396,4.3234
284, 2/9/2023, 11:28:36.519,4.3223
285, 2/9/2023, 11:28:36.640,4.3217
286, 2/9/2023, 11:28:36.764,4.3228
287, 2/9/2023, 11:28:36.887,4.3233
288, 2/9/2023, 11:28:36.918,4.3237
289, 2/9/2023, 11:28:36.949,4.3227
290, 2/9/2023, 11:28:36.980,4.3227
291, 2/9/2023, 11:28:37.011,4.3227
292, 2/9/2023, 11:28:37.134,4.3226
293, 2/9/2023, 11:28:37.256,4.3229
294, 2/9/2023, 11:28:37.379,4.323
295, 2/9/2023, 11:28:37.503,4.3228
296, 2/9/2023, 11:28:37.626,4.319
297, 2/9/2023, 11:28:37.748,4.3081
298, 2/9/2023, 11:28:37.872,4.3072
299, 2/9/2023, 11:28:37.903,4.3083
300, 2/9/2023, 11:28:37.934,4.3088
301, 2/9/2023, 11:28:37.965,4.3109
302, 2/9/2023, 11:28:37.997,4.3048
303, 2/9/2023, 11:28:38.028,4.3024
304, 2/9/2023, 11:28:38.150,4.3031
305, 2/9/2023, 11:28:38.274,4.3011
306, 2/9/2023, 11:28:38.396,4.2981
307, 2/9/2023, 11:28:38.518,4.2988
308, 2/9/2023, 11:28:38.642,4.2967
309, 2/9/2023, 11:28:38.766,4.2927
310, 2/9/2023, 11:28:38.889,4.2922
311, 2/9/2023, 11:28:38.920,4.2902
312, 2/9/2023, 11:28:38.959,4.291
313, 2/9/2023, 11:28:38.990,4.2952
314, 2/9/2023, 11:28:39.022,4.2934
315, 2/9/2023, 11:28:39.144,4.2883
316, 2/9/2023, 11:28:39.245,4.2909
317, 2/9/2023, 11:28:39.367,4.2917
318, 2/9/2023, 11:28:39.491,4.2884
319, 2/9/2023, 11:28:39.615,4.2895
320, 2/9/2023, 11:28:39.738,4.2883
321, 2/9/2023, 11:28:39.861,4.2863
322, 2/9/2023, 11:28:39.971,4.282
323, 2/9/2023, 11:28:40.010,4.2784
324, 2/9/2023, 11:28:40.130,4.2846
325, 2/9/2023, 11:28:40.252,4.2868
326, 2/9/2023, 11:28:40.375,4.2906
327, 2/9/2023, 11:28:40.497,4.2936
328, 2/9/2023, 11:28:40.619,4.2879
329, 2/9/2023, 11:28:40.742,4.2865
330, 2/9/2023, 11:28:40.865,4.2895
331, 2/9/2023, 11:28:40.987,4.2882
332, 2/9/2023, 11:28:41.019,4.2799
333, 2/9/2023, 11:28:41.142,4.2903
334, 2/9/2023, 11:28:41.265,4.2928
335, 2/9/2023, 11:28:41.387,4.2916
336, 2/9/2023, 11:28:41.510,4.2916
337, 2/9/2023, 11:28:41.633,4.2885
338, 2/9/2023, 11:28:41.756,4.2909
339, 2/9/2023, 11:28:41.879,4.2929
340, 2/9/2023, 11:28:41.911,4.2953
341, 2/9/2023, 11:28:41.942,4.2835
342, 2/9/2023, 11:28:41.973,4.2819
343, 2/9/2023, 11:28:42.004,4.2889
344, 2/9/2023, 11:28:42.127,4.2903
345, 2/9/2023, 11:28:42.250,4.2884
346, 2/9/2023, 11:28:42.375,4.2908
347, 2/9/2023, 11:28:42.497,4.2897
348, 2/9/2023, 11:28:42.619,4.2933
349, 2/9/2023, 11:28:42.745,4.2937
350, 2/9/2023, 11:28:42.867,4.2824
351, 2/9/2023, 11:28:42.991,4.2937
352, 2/9/2023, 11:28:43.022,4.278
353, 2/9/2023, 11:28:43.123,4.2946
354, 2/9/2023, 11:28:43.245,4.2941
355, 2/9/2023, 11:28:43.368,4.2914
356, 2/9/2023, 11:28:43.491,4.289
357, 2/9/2023, 11:28:43.614,4.2893
358, 2/9/2023, 11:28:43.736,4.2919
359, 2/9/2023, 11:28:43.858,4.2859
360, 2/9/2023, 11:28:43.982,4.2932
361, 2/9/2023, 11:28:44.013,4.2929
362, 2/9/2023, 11:28:44.136,4.2967
363, 2/9/2023, 11:28:44.259,4.2967
364, 2/9/2023, 11:28:44.382,4.2915
365, 2/9/2023, 11:28:44.505,4.2899
366, 2/9/2023, 11:28:44.626,4.2912
367, 2/9/2023, 11:28:44.749,4.2907
368, 2/9/2023, 11:28:44.872,4.2903
369, 2/9/2023, 11:28:44.903,4.2903
370, 2/9/2023, 11:28:44.934,4.2904
371, 2/9/2023, 11:28:44.965,4.2902
372, 2/9/2023, 11:28:44.995,4.2904
373, 2/9/2023, 11:28:45.026,4.2904
374, 2/9/2023, 11:28:45.149,4.2903
375, 2/9/2023, 11:28:45.272,4.2901
376, 2/9/2023, 11:28:45.395,4.2901
377, 2/9/2023, 11:28:45.518,4.2904
378, 2/9/2023, 11:28:45.640,4.29
379, 2/9/2023, 11:28:45.763,4.2903
380, 2/9/2023, 11:28:45.886,4.2897
381, 2/9/2023, 11:28:45.918,4.2899
382, 2/9/2023, 11:28:45.949,4.2897
383, 2/9/2023, 11:28:45.980,4.2905
384, 2/9/2023, 11:28:46.011,4.2897
385, 2/9/2023, 11:28:46.134,4.2904
386, 2/9/2023, 11:28:46.256,4.2902
387, 2/9/2023, 11:28:46.380,4.2903
388, 2/9/2023, 11:28:46.502,4.2901
389, 2/9/2023, 11:28:46.626,4.2902
390, 2/9/2023, 11:28:46.748,4.2902
391, 2/9/2023, 11:28:46.871,4.2903
392, 2/9/2023, 11:28:46.902,4.2904
393, 2/9/2023, 11:28:46.933,4.2904
394, 2/9/2023, 11:28:46.964,4.2905
395, 2/9/2023, 11:28:46.996,4.2898
396, 2/9/2023, 11:28:47.027,4.2898
397, 2/9/2023, 11:28:47.150,4.2902
398, 2/9/2023, 11:28:47.274,4.2904
399, 2/9/2023, 11:28:47.397,4.2906
400, 2/9/2023, 11:28:47.520,4.2904
401, 2/9/2023, 11:28:47.644,4.2906
402, 2/9/2023, 11:28:47.767,4.2906
403, 2/9/2023, 11:28:47.889,4.2904
404, 2/9/2023, 11:28:47.920,4.29
405, 2/9/2023, 11:28:47.952,4.2903
406, 2/9/2023, 11:28:47.983,4.2903
407, 2/9/2023, 11:28:48.015,4.2903
408, 2/9/2023, 11:28:48.138,4.2904
409, 2/9/2023, 11:28:48.261,4.2903
410, 2/9/2023, 11:28:48.384,4.2904
411, 2/9/2023, 11:28:48.506,4.2902
412, 2/9/2023, 11:28:48.628,4.2906
413, 2/9/2023, 11:28:48.751,4.2906
414, 2/9/2023, 11:28:48.874,4.2907
415, 2/9/2023, 11:28:48.906,4.2905
416, 2/9/2023, 11:28:48.938,4.2905
417, 2/9/2023, 11:28:48.969,4.2908
418, 2/9/2023, 11:28:49.000,4.2903
419, 2/9/2023, 11:28:49.123,4.2904
420, 2/9/2023, 11:28:49.245,4.2906
421, 2/9/2023, 11:28:49.369,4.2903
422, 2/9/2023, 11:28:49.492,4.2905
423, 2/9/2023, 11:28:49.615,4.2906
424, 2/9/2023, 11:28:49.738,4.2909
425, 2/9/2023, 11:28:49.860,4.2908
426, 2/9/2023, 11:28:49.983,4.2907
427, 2/9/2023, 11:28:50.015,4.2903
428, 2/9/2023, 11:28:50.136,4.2908
429, 2/9/2023, 11:28:50.259,4.2908
430, 2/9/2023, 11:28:50.383,4.2907
431, 2/9/2023, 11:28:50.505,4.2909
432, 2/9/2023, 11:28:50.628,4.2905
433, 2/9/2023, 11:28:50.751,4.2905
434, 2/9/2023, 11:28:50.874,4.2907
435, 2/9/2023, 11:28:50.905,4.2908
436, 2/9/2023, 11:28:50.937,4.2904
437, 2/9/2023, 11:28:50.969,4.2894
438, 2/9/2023, 11:28:51.000,4.2908
439, 2/9/2023, 11:28:51.121,4.2905
440, 2/9/2023, 11:28:51.243,4.2908
441, 2/9/2023, 11:28:51.365,4.2903
442, 2/9/2023, 11:28:51.488,4.2904
443, 2/9/2023, 11:28:51.610,4.2905
444, 2/9/2023, 11:28:51.734,4.2909
445, 2/9/2023, 11:28:51.858,4.2907
446, 2/9/2023, 11:28:51.979,4.2907
447, 2/9/2023, 11:28:52.011,4.2909
448, 2/9/2023, 11:28:52.133,4.2905
449, 2/9/2023, 11:28:52.255,4.2907
450, 2/9/2023, 11:28:52.379,4.2911
451, 2/9/2023, 11:28:52.503,4.2906
452, 2/9/2023, 11:28:52.625,4.2906
453, 2/9/2023, 11:28:52.748,4.2905
454, 2/9/2023, 11:28:52.870,4.2906
455, 2/9/2023, 11:28:52.902,4.2909
456, 2/9/2023, 11:28:52.943,4.2907
457, 2/9/2023, 11:28:52.974,4.2907
458, 2/9/2023, 11:28:53.006,4.2905
459, 2/9/2023, 11:28:53.129,4.2909
460, 2/9/2023, 11:28:53.252,4.2907
461, 2/9/2023, 11:28:53.375,4.2908
462, 2/9/2023, 11:28:53.498,4.2908
463, 2/9/2023, 11:28:53.620,4.291
464, 2/9/2023, 11:28:53.743,4.2911
465, 2/9/2023, 11:28:53.867,4.2906
466, 2/9/2023, 11:28:53.989,4.2908
467, 2/9/2023, 11:28:54.020,4.291
468, 2/9/2023, 11:28:54.143,4.2908
469, 2/9/2023, 11:28:54.266,4.291
470, 2/9/2023, 11:28:54.389,4.2908
471, 2/9/2023, 11:28:54.513,4.2906
472, 2/9/2023, 11:28:54.636,4.2909
473, 2/9/2023, 11:28:54.758,4.291
474, 2/9/2023, 11:28:54.881,4.2909
475, 2/9/2023, 11:28:54.912,4.2907
476, 2/9/2023, 11:28:54.944,4.2907
477, 2/9/2023, 11:28:54.975,4.2905
478, 2/9/2023, 11:28:55.008,4.2905
479, 2/9/2023, 11:28:55.130,4.291
480, 2/9/2023, 11:28:55.255,4.2908
481, 2/9/2023, 11:28:55.379,4.2911
482, 2/9/2023, 11:28:55.502,4.2912
483, 2/9/2023, 11:28:55.625,4.2911
484, 2/9/2023, 11:28:55.748,4.2909
485, 2/9/2023, 11:28:55.870,4.2906
486, 2/9/2023, 11:28:55.902,4.2904
487, 2/9/2023, 11:28:55.933,4.2905
488, 2/9/2023, 11:28:55.965,4.2904
489, 2/9/2023, 11:28:55.996,4.291
490, 2/9/2023, 11:28:56.028,4.2903
491, 2/9/2023, 11:28:56.150,4.2907
492, 2/9/2023, 11:28:56.274,4.2905
493, 2/9/2023, 11:28:56.397,4.2907
494, 2/9/2023, 11:28:56.519,4.2908
495, 2/9/2023, 11:28:56.642,4.2909
496, 2/9/2023, 11:28:56.766,4.2908
497, 2/9/2023, 11:28:56.889,4.2907
498, 2/9/2023, 11:28:56.920,4.2908
499, 2/9/2023, 11:28:56.951,4.2905
500, 2/9/2023, 11:28:56.984,4.2908
501, 2/9/2023, 11:28:57.015,4.2908
502, 2/9/2023, 11:28:57.136,4.2907
503, 2/9/2023, 11:28:57.258,4.2908
504, 2/9/2023, 11:28:57.381,4.2907
505, 2/9/2023, 11:28:57.504,4.2908
506, 2/9/2023, 11:28:57.628,4.2906
507, 2/9/2023, 11:28:57.750,4.2908
508, 2/9/2023, 11:28:57.874,4.2905
509, 2/9/2023, 11:28:57.905,4.291
510, 2/9/2023, 11:28:57.936,4.2908
511, 2/9/2023, 11:28:57.967,4.2904
512, 2/9/2023, 11:28:57.999,4.2904
513, 2/9/2023, 11:28:58.030,4.291
514, 2/9/2023, 11:28:58.152,4.2908
515, 2/9/2023, 11:28:58.276,4.2911
516, 2/9/2023, 11:28:58.398,4.2905
517, 2/9/2023, 11:28:58.520,4.2907
518, 2/9/2023, 11:28:58.643,4.2904
519, 2/9/2023, 11:28:58.766,4.2909
520, 2/9/2023, 11:28:58.890,4.2908
521, 2/9/2023, 11:28:58.920,4.2904
522, 2/9/2023, 11:28:58.952,4.2905
523, 2/9/2023, 11:28:58.984,4.2898
524, 2/9/2023, 11:28:59.015,4.2898
525, 2/9/2023, 11:28:59.139,4.2905
526, 2/9/2023, 11:28:59.261,4.2906
527, 2/9/2023, 11:28:59.384,4.2906
528, 2/9/2023, 11:28:59.508,4.2906
529, 2/9/2023, 11:28:59.631,4.2907
530, 2/9/2023, 11:28:59.754,4.2903
531, 2/9/2023, 11:28:59.878,4.2905
532, 2/9/2023, 11:28:59.909,4.2907
533, 2/9/2023, 11:28:59.940,4.2902
534, 2/9/2023, 11:28:59.972,4.2905
535, 2/9/2023, 11:29:00.004,4.2908
536, 2/9/2023, 11:29:00.127,4.2905
537, 2/9/2023, 11:29:00.250,4.2905
538, 2/9/2023, 11:29:00.374,4.2904
539, 2/9/2023, 11:29:00.495,4.2904
540, 2/9/2023, 11:29:00.619,4.2905
541, 2/9/2023, 11:29:00.741,4.2903
542, 2/9/2023, 11:29:00.864,4.2907
543, 2/9/2023, 11:29:00.987,4.2906
544, 2/9/2023, 11:29:01.018,4.2909
545, 2/9/2023, 11:29:01.141,4.2904
546, 2/9/2023, 11:29:01.264,4.2906
547, 2/9/2023, 11:29:01.386,4.2902
548, 2/9/2023, 11:29:01.509,4.2905
549, 2/9/2023, 11:29:01.632,4.2903
550, 2/9/2023, 11:29:01.755,4.2906
551, 2/9/2023, 11:29:01.877,4.2904
552, 2/9/2023, 11:29:01.909,4.2907
553, 2/9/2023, 11:29:01.940,4.2899
554, 2/9/2023, 11:29:01.971,4.2907
555, 2/9/2023, 11:29:02.002,4.2907
556, 2/9/2023, 11:29:02.126,4.2906
557, 2/9/2023, 11:29:02.250,4.2903
558, 2/9/2023, 11:29:02.372,4.2904
559, 2/9/2023, 11:29:02.494,4.2901
560, 2/9/2023, 11:29:02.616,4.2902
561, 2/9/2023, 11:29:02.739,4.2905
562, 2/9/2023, 11:29:02.862,4.2902
563, 2/9/2023, 11:29:02.984,4.2905
564, 2/9/2023, 11:29:03.015,4.2908
565, 2/9/2023, 11:29:03.136,4.2901
566, 2/9/2023, 11:29:03.259,4.2901
567, 2/9/2023, 11:29:03.384,4.2905
568, 2/9/2023, 11:29:03.506,4.2906
569, 2/9/2023, 11:29:03.628,4.2907
570, 2/9/2023, 11:29:03.752,4.2901
571, 2/9/2023, 11:29:03.874,4.2906
572, 2/9/2023, 11:29:03.905,4.2899
573, 2/9/2023, 11:29:03.937,4.2908
574, 2/9/2023, 11:29:03.969,4.2902
575, 2/9/2023, 11:29:04.000,4.291
576, 2/9/2023, 11:29:04.123,4.2904
577, 2/9/2023, 11:29:04.246,4.2904
578, 2/9/2023, 11:29:04.368,4.2905
579, 2/9/2023, 11:29:04.493,4.2905
580, 2/9/2023, 11:29:04.616,4.2905
